,F,I,M,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,age
3835,1,0,0,0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,8.5
3000,0,0,1,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,10.5
3336,1,0,0,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,12.5
2230,0,0,1,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,14.5
3078,1,0,0,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,12.5
3286,1,0,0,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,15.5
2535,1,0,0,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,12.5
2408,0,1,0,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,16.5
2775,0,1,0,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,11.5
3091,0,0,1,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,11.5
2798,0,0,1,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,11.5
3796,1,0,0,0.675,0.54,0.21,1.593,0.686,0.318,0.45,12.5
4102,0,0,1,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,12.5
1569,0,1,0,0.475,0.36,0.145,0.6325,0.2825,0.137,0.19,9.5
3340,0,1,0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,18.5
2531,0,0,1,0.605,0.475,0.175,1.201,0.5395,0.275,0.309,11.5
1407,0,0,1,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,11.5
867,1,0,0,0.615,0.5,0.175,1.377,0.5585,0.33,0.292,13.5
926,0,1,0,0.43,0.325,0.09,0.425,0.217,0.087,0.095,8.5
4168,1,0,0,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,9.5
997,0,0,1,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,9.5
3215,1,0,0,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,12.5
1099,0,1,0,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,8.5
1132,1,0,0,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,10.5
3435,0,1,0,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,8.5
1738,1,0,0,0.67,0.54,0.195,1.619,0.74,0.3305,0.465,12.5
210,1,0,0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,11.5
1910,1,0,0,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,11.5
59,1,0,0,0.505,0.4,0.125,0.583,0.246,0.13,0.175,8.5
1211,0,1,0,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,5.5
1965,0,0,1,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,12.5
1572,0,1,0,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,10.5
4118,0,0,1,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,10.5
3217,0,0,1,0.425,0.34,0.12,0.388,0.149,0.087,0.125,11.5
765,0,0,1,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,12.5
2238,0,1,0,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,9.5
1378,1,0,0,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,11.5
1078,0,1,0,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,7.5
1362,1,0,0,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,13.5
2284,0,1,0,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,10.5
3168,0,0,1,0.605,0.47,0.115,1.114,0.3925,0.291,0.31,16.5
3631,0,1,0,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,6.5
3574,1,0,0,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,10.5
582,1,0,0,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,20.5
2091,1,0,0,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,9.5
1907,1,0,0,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,10.5
3386,0,0,1,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,14.5
940,0,1,0,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,8.5
1080,0,0,1,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,8.5
187,1,0,0,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,11.5
941,0,1,0,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,8.5
2463,0,0,1,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,18.5
2846,0,0,1,0.625,0.475,0.175,1.3405,0.656,0.283,0.337,11.5
1602,0,1,0,0.54,0.425,0.14,0.742,0.32,0.1395,0.25,10.5
4062,0,0,1,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,10.5
1694,0,0,1,0.63,0.505,0.17,1.0915,0.4615,0.266,0.3,10.5
4045,0,0,1,0.59,0.45,0.16,0.998,0.445,0.214,0.301,10.5
226,1,0,0,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,8.5
1877,0,1,0,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,9.5
535,0,1,0,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,12.5
3071,1,0,0,0.655,0.455,0.17,1.2895,0.587,0.3165,0.3415,12.5
3711,0,0,1,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,12.5
3328,0,1,0,0.575,0.475,0.17,0.967,0.3775,0.284,0.275,14.5
697,0,0,1,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,6.5
3905,0,0,1,0.38,0.27,0.095,0.219,0.0835,0.0515,0.07,7.5
1510,1,0,0,0.65,0.545,0.175,1.5245,0.59,0.326,0.495,11.5
1952,0,1,0,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,11.5
2014,0,1,0,0.47,0.375,0.105,0.441,0.167,0.0865,0.145,11.5
3858,1,0,0,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,13.5
2981,1,0,0,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,9.5
1037,0,0,1,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,10.5
208,1,0,0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,14.5
1675,1,0,0,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,8.5
565,0,0,1,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,11.5
313,1,0,0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,24.5
601,1,0,0,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,11.5
233,0,1,0,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,8.5
2644,0,1,0,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,9.5
931,1,0,0,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,7.5
3431,0,1,0,0.35,0.265,0.095,0.199,0.073,0.049,0.06,6.5
1593,0,1,0,0.525,0.38,0.135,0.615,0.261,0.159,0.175,9.5
111,0,0,1,0.465,0.36,0.105,0.431,0.172,0.107,0.175,10.5
3271,0,0,1,0.52,0.425,0.155,0.7735,0.297,0.123,0.255,18.5
1089,0,1,0,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,8.5
2918,0,1,0,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,10.5
230,0,0,1,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,14.5
1436,0,1,0,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,6.5
1551,0,1,0,0.39,0.3,0.09,0.252,0.1065,0.053,0.08,8.5
472,0,1,0,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,10.5
2232,1,0,0,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,10.5
3872,1,0,0,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,10.5
1783,0,0,1,0.525,0.38,0.125,0.65,0.303,0.155,0.159,8.5
3115,0,1,0,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,7.5
2727,0,1,0,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,8.5
4114,1,0,0,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,10.5
1556,0,1,0,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,8.5
3470,0,0,1,0.72,0.565,0.2,1.787,0.718,0.385,0.529,12.5
361,1,0,0,0.59,0.465,0.15,0.997,0.392,0.246,0.34,13.5
135,1,0,0,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,9.5
1134,1,0,0,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,9.5
2159,1,0,0,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,13.5
1151,0,0,1,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,8.5
2702,0,0,1,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,12.5
2135,0,0,1,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,13.5
2628,0,1,0,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,6.5
1053,0,1,0,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,5.5
3538,0,0,1,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,8.5
22,1,0,0,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,13.5
2066,1,0,0,0.54,0.385,0.14,0.7655,0.3265,0.116,0.2365,11.5
3015,0,1,0,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,7.5
2757,0,1,0,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,10.5
695,0,1,0,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,8.5
1846,0,1,0,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,8.5
420,1,0,0,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,15.5
2389,0,0,1,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,12.5
460,0,0,1,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,12.5
1067,0,1,0,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,6.5
87,0,0,1,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,11.5
282,1,0,0,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,10.5
1512,1,0,0,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,10.5
1488,0,0,1,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,10.5
1592,0,1,0,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,10.5
4037,0,1,0,0.54,0.415,0.155,0.702,0.322,0.167,0.19,11.5
1474,0,0,1,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,10.5
859,1,0,0,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,9.5
533,1,0,0,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,10.5
3660,1,0,0,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,11.5
4122,0,1,0,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,9.5
1811,0,0,1,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,12.5
2333,0,0,1,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,14.5
3322,1,0,0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,16.5
3376,0,1,0,0.31,0.235,0.09,0.127,0.048,0.031,0.04,7.5
2980,0,1,0,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,8.5
1929,0,0,1,0.615,0.495,0.2,1.219,0.564,0.227,0.3885,11.5
4144,0,0,1,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,12.5
4032,0,1,0,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,9.5
3063,1,0,0,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,10.5
2086,1,0,0,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,11.5
4095,1,0,0,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,12.5
4123,0,1,0,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,9.5
1420,1,0,0,0.71,0.55,0.17,1.614,0.743,0.345,0.45,12.5
1476,1,0,0,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,10.5
942,0,1,0,0.465,0.37,0.115,0.534,0.261,0.098,0.143,8.5
2398,0,1,0,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,15.5
4089,0,0,1,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,10.5
1582,0,1,0,0.5,0.375,0.14,0.559,0.2375,0.135,0.169,10.5
2358,1,0,0,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,21.5
2392,0,0,1,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,11.5
121,0,1,0,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,8.5
887,1,0,0,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,10.5
3807,1,0,0,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,9.5
685,0,0,1,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,16.5
1468,0,0,1,0.52,0.4,0.125,0.559,0.254,0.139,0.149,9.5
3536,0,1,0,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,9.5
413,0,0,1,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,13.5
789,1,0,0,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,13.5
3801,0,1,0,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,4.5
1621,0,0,1,0.56,0.425,0.135,0.849,0.3265,0.221,0.2645,11.5
1670,1,0,0,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085,13.5
3262,1,0,0,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,15.5
1872,0,1,0,0.53,0.395,0.13,0.575,0.247,0.115,0.183,10.5
1425,1,0,0,0.735,0.565,0.205,2.1275,0.949,0.46,0.565,13.5
4041,0,1,0,0.575,0.45,0.15,0.858,0.449,0.166,0.215,11.5
272,0,0,1,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,15.5
2028,1,0,0,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,11.5
521,1,0,0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,6.5
522,0,1,0,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,10.5
2899,0,1,0,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,9.5
2103,0,0,1,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,10.5
3265,0,0,1,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,15.5
2751,1,0,0,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,10.5
350,1,0,0,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,9.5
1833,0,1,0,0.405,0.3,0.09,0.269,0.103,0.067,0.11,7.5
2486,1,0,0,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,14.5
3640,0,1,0,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,8.5
1752,0,0,1,0.71,0.56,0.22,2.015,0.9215,0.454,0.566,12.5
651,0,1,0,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,7.5
1642,0,0,1,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,14.5
3670,0,0,1,0.59,0.465,0.135,0.9895,0.4235,0.199,0.28,9.5
3936,1,0,0,0.475,0.4,0.115,0.541,0.186,0.1025,0.21,14.5
2634,0,1,0,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,8.5
118,1,0,0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,10.5
3575,0,0,1,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,9.5
2112,0,0,1,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,9.5
168,0,0,1,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,15.5
3942,1,0,0,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,12.5
1405,0,0,1,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,14.5
962,0,1,0,0.505,0.39,0.15,0.685,0.362,0.131,0.156,9.5
945,0,0,1,0.47,0.365,0.12,0.612,0.327,0.15,0.14,9.5
462,0,1,0,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,7.5
3880,0,1,0,0.38,0.3,0.1,0.286,0.1305,0.056,0.09,8.5
328,0,0,1,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,9.5
1880,0,1,0,0.55,0.435,0.14,0.7995,0.295,0.1905,0.238,11.5
2405,0,1,0,0.655,0.515,0.145,1.25,0.5265,0.283,0.315,16.5
2110,0,1,0,0.325,0.25,0.055,0.166,0.076,0.051,0.045,6.5
1360,0,1,0,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,12.5
1938,0,0,1,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,11.5
367,1,0,0,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,11.5
3679,0,0,1,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,11.5
3208,0,1,0,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,10.5
1878,0,1,0,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,11.5
2329,0,1,0,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,16.5
1375,1,0,0,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,11.5
1973,0,0,1,0.68,0.54,0.155,1.534,0.671,0.379,0.384,11.5
772,0,0,1,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,9.5
1284,0,1,0,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,10.5
2697,0,0,1,0.66,0.515,0.165,1.4465,0.694,0.298,0.3755,11.5
4073,0,1,0,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,10.5
3344,0,1,0,0.495,0.38,0.145,0.515,0.175,0.098,0.212,14.5
498,1,0,0,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,12.5
1414,0,0,1,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,10.5
1234,0,1,0,0.375,0.29,0.095,0.213,0.096,0.041,0.061,6.5
1714,1,0,0,0.645,0.51,0.19,1.363,0.573,0.362,0.36,11.5
435,0,0,1,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,12.5
1251,0,1,0,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,7.5
365,0,0,1,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,20.5
1978,0,0,1,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,13.5
276,1,0,0,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,13.5
2807,0,0,1,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,14.5
3165,1,0,0,0.545,0.41,0.115,0.6765,0.29,0.158,0.22,10.5
1918,1,0,0,0.6,0.465,0.16,1.133,0.466,0.2885,0.298,12.5
1506,1,0,0,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,10.5
407,0,0,1,0.59,0.485,0.12,0.911,0.39,0.182,0.29,17.5
2755,1,0,0,0.525,0.415,0.15,0.7055,0.329,0.147,0.199,11.5
3812,1,0,0,0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,13.5
2638,0,1,0,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125,8.5
2640,0,1,0,0.465,0.355,0.105,0.442,0.2085,0.0975,0.1185,8.5
2609,1,0,0,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,12.5
844,0,0,1,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,9.5
3351,1,0,0,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,14.5
2149,0,0,1,0.27,0.195,0.07,0.106,0.0465,0.018,0.036,8.5
86,0,0,1,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,14.5
1749,0,0,1,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,12.5
2176,1,0,0,0.57,0.45,0.17,1.098,0.414,0.187,0.405,21.5
2252,1,0,0,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,15.5
1905,0,1,0,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,11.5
1659,1,0,0,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,11.5
3756,0,1,0,0.515,0.39,0.12,0.565,0.235,0.135,0.179,10.5
855,1,0,0,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,10.5
2023,1,0,0,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,10.5
78,1,0,0,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,12.5
944,1,0,0,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,7.5
199,0,0,1,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,11.5
3158,0,0,1,0.55,0.435,0.11,0.806,0.3415,0.203,0.215,10.5
1831,0,1,0,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,7.5
801,0,0,1,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,11.5
2561,0,1,0,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,7.5
4140,1,0,0,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,11.5
3618,0,0,1,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,12.5
2002,0,1,0,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,8.5
231,0,0,1,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,15.5
3562,1,0,0,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,9.5
1033,0,0,1,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,11.5
3511,0,0,1,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,12.5
2367,0,0,1,0.65,0.545,0.16,1.2425,0.487,0.296,0.48,16.5
2834,1,0,0,0.57,0.425,0.13,0.782,0.3695,0.1745,0.1965,9.5
1662,1,0,0,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,10.5
2099,1,0,0,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,11.5
1844,0,1,0,0.435,0.345,0.12,0.3215,0.13,0.056,0.1185,8.5
4060,0,1,0,0.545,0.405,0.13,0.658,0.327,0.1445,0.174,9.5
1143,0,0,1,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,10.5
3788,1,0,0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,9.5
191,0,0,1,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,13.5
104,0,0,1,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,13.5
3423,1,0,0,0.63,0.475,0.15,1.172,0.536,0.254,0.316,12.5
3502,0,0,1,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,11.5
2295,1,0,0,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,11.5
2034,1,0,0,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,15.5
1873,0,1,0,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,10.5
3437,0,1,0,0.395,0.3,0.09,0.279,0.134,0.049,0.075,9.5
1691,0,1,0,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145,13.5
2370,0,1,0,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,9.5
3382,0,0,1,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,16.5
1726,1,0,0,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,13.5
3241,0,0,1,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,15.5
2564,0,1,0,0.45,0.35,0.125,0.4775,0.2235,0.089,0.118,7.5
1964,1,0,0,0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,11.5
2446,1,0,0,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,15.5
2576,0,1,0,0.5,0.38,0.11,0.494,0.218,0.09,0.1325,8.5
3070,1,0,0,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,10.5
702,1,0,0,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,10.5
3927,0,1,0,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,13.5
